lecture,link,n_slides,n_videos,video_0_in_eng,video_1_in_eng,video_2_in_eng,video_3_in_eng,video_4_in_eng,video_5_in_eng,video_6_in_eng
Intro & Setup,https://kitt.lewagon.com/camps/1243/lectures/01-Setup%2F01-Intro-and-Setup,2,3,True,True,True,,,,
GS & Finance,https://kitt.lewagon.com/camps/1243/lectures/02-Data-Sourcing%2F01-GS-Finance,2,2,True,True,,,,,
GS - Stock and production,https://kitt.lewagon.com/camps/1243/lectures/02-Data-Sourcing%2F02-GS-Stock-And-Production,2,2,True,True,,,,,
GS & Product,https://kitt.lewagon.com/camps/1243/lectures/02-Data-Sourcing%2F03-GS-And-Product,2,2,True,True,,,,,
GS CRM & customers,https://kitt.lewagon.com/camps/1243/lectures/02-Data-Sourcing%2F04-GS-CRM-And-Customers,1,1,True,,,,,,
Data pipelines,https://kitt.lewagon.com/camps/1243/lectures/03-Data-Collection%2F01-Data-Pipelines,3,2,True,True,,,,,
Introduction to APIs,https://kitt.lewagon.com/camps/1243/lectures/03-Data-Collection%2F02-Introduction-To-API,2,2,True,True,,,,,
Automation with Zapier,https://kitt.lewagon.com/camps/1243/lectures/03-Data-Collection%2F03-Automation-With-Zapier,2,2,True,True,,,,,
Automation with n8n,https://kitt.lewagon.com/camps/1243/lectures/03-Data-Collection%2F04-Automation-With-n8n,2,2,True,True,,,,,
ELT with Fivetran & Airbyte,https://kitt.lewagon.com/camps/1243/lectures/03-Data-Collection%2F05-ELT-With-Fivetran-And-Airbyte,2,2,True,True,,,,,
Tracking plan & GTM,https://kitt.lewagon.com/camps/1243/lectures/03-Data-Collection%2F06-Tracking-Plan-And_GTM,2,2,True,True,,,,,
GA4,https://kitt.lewagon.com/camps/1243/lectures/03-Data-Collection%2F07-GA4,1,0,,,,,,,
AB test,https://kitt.lewagon.com/camps/1243/lectures/03-Data-Collection%2F08-AB-Test,2,2,False,False,,,,,
"Intro to SQL, Data type & CRUD",https://kitt.lewagon.com/camps/1243/lectures/04-Data-Transformations%2F01-Intro-To-Transformation,2,2,True,True,,,,,
"Aggregation, Date & Time Functions, and Testing",https://kitt.lewagon.com/camps/1243/lectures/04-Data-Transformations%2F02-CTE-And-Joins,3,4,False,False,False,False,,,
"Join, lineage & orchestration",https://kitt.lewagon.com/camps/1243/lectures/04-Data-Transformations%2F03-Analytical-Queries,2,3,False,False,False,,,,
"Functions, Subqueries, Partitioning & window function",https://kitt.lewagon.com/camps/1243/lectures/04-Data-Transformations%2F04-Nested-Formats-And-Complex-Aggregations,4,7,False,False,False,False,False,False,False
Data Layers + intro DBT,https://kitt.lewagon.com/camps/1243/lectures/04-Data-Transformations%2F05-Data-Layers-And-Intro-DBT,2,5,False,False,False,False,False,,
Intro to Git & versioning,https://kitt.lewagon.com/camps/1243/lectures/04-Data-Transformations%2F01-Intro-To-Git-And-Versioning,3,1,True,,,,,,
DBT advanced,https://kitt.lewagon.com/camps/1243/lectures/04-Data-Transformations%2F02-DBT-Advanced,3,3,True,True,True,,,,
Visualisations & Looker Studio 1,https://kitt.lewagon.com/camps/1243/lectures/05-Dashboarding%2F03-Visualisations-And-Looker-Studio1,2,2,False,False,,,,,
Looker Studio 2,https://kitt.lewagon.com/camps/1243/lectures/05-Dashboarding%2F04-Looker-Studio2,2,2,False,False,,,,,
Looker Studio 3,https://kitt.lewagon.com/camps/1243/lectures/05-Dashboarding%2F05-Looker-Studio3,2,2,False,False,,,,,
Power BI 1,https://kitt.lewagon.com/camps/1243/lectures/05-Dashboarding%2F06-Power-BI-1,1,1,False,,,,,,
Power BI 2,https://kitt.lewagon.com/camps/1243/lectures/05-Dashboarding%2F07-Power-BI-2,1,1,False,,,,,,
Power BI 3,https://kitt.lewagon.com/camps/1243/lectures/05-Dashboarding%2F08-Power-BI-3,1,1,False,,,,,,
"Activation, Reverse ETL & Retool",https://kitt.lewagon.com/camps/1243/lectures/05-Dashboarding%2F09-Activation-Reverse-ETL-And-Retool,2,4,False,False,False,False,,,
Intro to Python,https://kitt.lewagon.com/camps/1243/lectures/06-Python%2F01-Intro-To-Python,2,2,True,True,,,,,
